Day,Channel Title,Subscribers,Total Views,Total Videos,Description,Published At
01-05-25,John Doe,0,79,1,,2023-03-18T08:03:42.855046Z
02-05-25,John Doe,0,179,1,,2023-03-18T08:03:42.855046Z
